# Issue #154 strict inventory of Quarkdown v2.5.1 content, media, presentation, and Markdown-extension surfaces.
# target_sha=107ec3a9482f10d6f90d7580f8409b46a719d18e
# audit_base=7144683346fd6e39c49ef0923733c856a6a55f42
# declared_total=83
# declared_owned=71
# declared_handoffs=12
# Columns: ownership	canonical/public surface	aliases	category/family	exact upstream syntax/signature	exact Quarkdown v2.5.1 provenance	observable contract	Markdown baseline relationship	Quarkdown-specific extension/semantic delta	parser/frontend representation	source provenance/span behavior	binder/value-conversion requirements	evaluator semantics	AST/semantic representation	backend-neutral IR representation or current absence	Typst/backend behavior	rendered-output fidelity	resource/project dependency	caption interaction	numbering interaction	reference/label interaction	layout/document-state interaction	malformed-input behavior	unsupported-input behavior	diagnostic behavior	current Scribium conformance/test evidence	current canonical #147 support status	existing issue/PR linkage	exact remaining gap	disposition
owned	primitive:figure	none	content primitive	figure(caption: InlineMarkdownContent? = null, ref: String? = null, body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt	Wraps content in a captioned/referenceable figure.	No ordinary Markdown figure semantic is claimed.	Figure/caption/numbering/ref are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	Consumes #153 captionposition; producer is #154.	#153 owns global numbering policy; no local index represented	`ref` producer/consumer belongs #181.	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#181;#156	No figure node/caption association, numbering/reference traversal, or backend output exists; #181 owns the structural producer and shared index boundary.	Audit evidence only; implementation frozen until #156
owned	primitive:pagebreak	pageBreak	content primitive	pagebreak() -> PageBreak node	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt	Emits an explicit page break.	No Markdown equivalent.	Explicit QD content break; automatic page policy is #153.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#185;#156	No explicit break syntax, semantic node, IR, or backend behavior exists; #185 owns explicit breaks while #153 owns automatic page-break policy.	Audit evidence only; implementation frozen until #156
owned	primitive:code	none	code presentation	code(lang: String? = null, caption: InlineMarkdownContent? = null, linenumbers: Boolean = true, focus: Range? = null, ref: String? = null, code: EvaluableString) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt	Evaluates and presents code with QD options.	Markdown fences are baseline.	Callable body/presentation/caption/ref are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	Consumes #153 captionposition; produces #154 code caption.	#153 owns global numbering policy; no local index represented	`ref` requires #181 index.	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#185 (producer);#181 (shared caption/reference/index);#145;#149;#166-#167	Markdown code output exists, but callable raw-body/options/caption/reference/output parity is not represented; #185 owns the producer and #181 the shared caption/reference boundary.	Audit evidence only; implementation frozen until #156
owned	primitive:math	none	math/content primitive	math(call[injected], content: EvaluableString, block: Boolean? = null, ref: String? = null, style: StyleOptions = DEFAULT) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt	Emits inline/block math from evaluated source.	No Markdown math support is promoted.	Math/block/ref/style and macro consumption are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	Equation numbering policy is #153; consumer is #154.	Math `ref` requires #181 index.	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#185 (producer);#181 (shared caption/reference/index);#180;#149;#166-#167	No Quarkdown math parser/evaluator/IR/output exists; #185 owns the producer, #181 the shared caption/reference boundary, and #180 .texmacro state.	Audit evidence only; implementation frozen until #156
owned	primitive:table	none	table/content primitive	table(caption: InlineMarkdownContent? = null, ref: String? = null, header: MarkdownContent, body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Creates table content with caption/ref.	GFM table is baseline.	Callable table/caption/ref are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	Consumes #153 captionposition; producer is #154.	Consumes #153 numbering; table index is #154.	`ref` uses #181 index.	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#183 (producer);#181 (shared caption/reference/index);#145;#156	Markdown tables work, but callable bodies, captions, labels, numbering, and output parity remain open; #183 owns the table producer and #181 shared infrastructure.	Audit evidence only; implementation frozen until #156
owned	primitive:table-sort	tablesort	table computation	tablesort(column: Int, order: Ordering = ASCENDING, table: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/TableComputation.kt	Sorts table rows by a column.	Markdown table is input baseline.	Traversal, ordering, conversion, and reconstruction are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#183;#149;#166-#167;#156	No table traversal/computation evaluator or reconstructed table IR exists; #183 owns the table operation and #149/#166-#167 prerequisites.	Audit evidence only; implementation frozen until #156
owned	primitive:table-filter	tablefilter	table computation	tablefilter(column: Int, filter: Lambda, table: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/TableComputation.kt	Filters table rows by a callback.	Markdown table is input baseline.	Lambda/table reconstruction are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#183;#149;#165-#167;#156	No callback-driven row filtering or reconstructed output exists; #183 owns the table operation and #149/#165-#167 prerequisites.	Audit evidence only; implementation frozen until #156
owned	primitive:table-compute	tablecompute	table computation	tablecompute(column: Int, compute: Lambda, table: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/TableComputation.kt	Computes/appends a column from callback values.	Markdown table is input baseline.	Callback conversion and mutation are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#183;#149;#166-#167;#156	No callback-driven computed-column semantics or output exists; #183 owns the table operation and #149/#166-#167 prerequisites.	Audit evidence only; implementation frozen until #156
owned	primitive:table-column	tablecolumn	table computation	tablecolumn(column: Int, of: MarkdownContent) -> IterableValue<OutputValue>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/TableComputation.kt	Extracts one table column.	Markdown table is input baseline.	QD traversal/value conversion is extension.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#183;#149;#156	No table-column extraction or typed collection result exists; #183 owns the table operation and #149 owns conversion.	Audit evidence only; implementation frozen until #156
owned	primitive:table-columns	tablecolumns	table computation	tablecolumns(of: MarkdownContent) -> IterableValue<IterableValue<OutputValue>>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/TableComputation.kt	Extracts all table columns.	Markdown table is input baseline.	QD traversal/nested conversion is extension.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#183;#149;#156	No grouped column extraction or nested collection result exists; #183 owns the table operation and #149 owns conversion.	Audit evidence only; implementation frozen until #156
owned	primitive:table-by-rows	tablebyrows	table generation	tablebyrows(headers: List<OutputValue> = [], rows: List<IterableValue<OutputValue>>) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/TableComputation.kt	Generates table from row values and optional headers.	Not Markdown syntax; output resembles Markdown table.	Value conversion and generated shape are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#183;#149;#166-#167;#156	No generated-table evaluator, row-padding contract, or output exists; #183 owns the table operation and #149/#166-#167 prerequisites.	Audit evidence only; implementation frozen until #156
owned	primitive:container	none	component/layout content	container(width: Size? = null, height: Size? = null, fullwidth: Boolean = false, float: FloatAlignment? = null, fullspan: Boolean = false, classname: String? = null, style: StyleOptions = DEFAULT, body: MarkdownContent? = null) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Wraps content in bounded local component sizing/alignment.	No direct Markdown baseline.	Local component semantics, not global pageformat.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#184;frozen until #156	Bounded width/height/fullwidth behavior exists, but remaining float/fullspan/class/style/body parity is not represented; the component-local gap is assigned to #184.	Audit evidence only; implementation frozen until #156
owned	primitive:align	none	component/layout content	align(alignment: Alignment, body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Adds content-local alignment.	No direct Markdown baseline.	Local alignment is QD component semantics.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing typed component evaluator/IR tests and real Typst/PDF tests for origin-aware alignment and bounded body lowering.	SUPPORTED_END_TO_END	#156;no implementation follow-up	No #154-owned gap for the evidenced typed alignment contract; broader Quarkdown style/body parity is outside this bounded row.	Audit evidence only; implementation frozen until #156
owned	primitive:center	none	component/layout content	center(body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Centers content/text within its parent.	No direct Markdown baseline.	Local alignment is QD component semantics.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing typed component evaluator/IR tests and real Typst/PDF tests for bounded center/body lowering.	SUPPORTED_END_TO_END	#156;no implementation follow-up	No #154-owned gap for the evidenced typed center contract; broader Quarkdown style/body parity is outside this bounded row.	Audit evidence only; implementation frozen until #156
owned	primitive:float	none	component/layout content	float(alignment: FloatAlignment, body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Floats content for wrapping.	No direct Markdown baseline.	Float layout is QD-specific.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#184;frozen until #156	No bounded .float semantic, backend-neutral representation, or Typst/output contract exists; this component-local gap is assigned to #184.	Audit evidence only; implementation frozen until #156
owned	primitive:row	none	component/layout content	row(alignment: MainAxisAlignment = START, cross: CrossAxisAlignment = CENTER, gap: Size? = null, body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Horizontal local stack with alignment/gap.	No direct Markdown baseline.	Local row; not pageformat columns.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing typed Row evaluator/IR tests, validation/failure-atomicity tests, and real Typst/PDF integration tests.	SUPPORTED_END_TO_END	#156;no implementation follow-up	No #154-owned gap for the evidenced typed Row contract; broader v2.5.1 component option/body parity is outside this bounded row.	Audit evidence only; implementation frozen until #156
owned	primitive:column	none	component/layout content	column(alignment: MainAxisAlignment = START, cross: CrossAxisAlignment = CENTER, gap: Size? = null, body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Vertical local stack.	No direct Markdown baseline.	Local column; not pageformat columns.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing typed Column evaluator/IR tests, validation/failure-atomicity tests, and real Typst/PDF integration tests.	SUPPORTED_END_TO_END	#156;no implementation follow-up	No #154-owned gap for the evidenced typed Column contract; broader v2.5.1 component option/body parity is outside this bounded row.	Audit evidence only; implementation frozen until #156
owned	primitive:grid	none	component/layout content	grid(columns: Int, alignment: MainAxisAlignment = CENTER, cross: CrossAxisAlignment = CENTER, gap/vgap/hgap: Size?, body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Positive-column-count local grid.	No direct Markdown baseline.	Local grid; not document-wide columns.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing typed Grid evaluator/IR tests, positive-column validation/failure-atomicity tests, and real Typst/PDF integration tests.	SUPPORTED_END_TO_END	#156;no implementation follow-up	No #154-owned gap for the evidenced typed Grid contract; broader v2.5.1 component option/body parity is outside this bounded row.	Audit evidence only; implementation frozen until #156
owned	primitive:landscape	none	component/layout content	landscape(body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Content-local landscape wrapper.	No direct Markdown baseline.	Local orientation; not global pageformat.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing typed Landscape evaluator/IR tests and real Typst/PDF rotation/reflow integration tests.	SUPPORTED_END_TO_END	#156;no implementation follow-up	No #154-owned gap for the evidenced typed Landscape contract; broader v2.5.1 orientation/output parity is outside this bounded row.	Audit evidence only; implementation frozen until #156
owned	primitive:fullspan	fullColumnSpan	component/layout content	fullspan(body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Content spans all page columns.	No direct Markdown baseline.	Local full-span; global pageformat columns remain #153.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#184;frozen until #156	No bounded .fullspan semantic, backend-neutral representation, or Typst/output contract exists; this component-local gap is assigned to #184.	Audit evidence only; implementation frozen until #156
owned	primitive:whitespace	none	component/layout content	whitespace(width: Size? = null, height: Size? = null) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Adds explicit sized spacing node.	No direct Markdown baseline.	QD spacing node.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	Existing native/evaluator path; no new #154 code.	Existing semantic node or bounded Markdown semantic.	Existing backend-neutral IR.	Existing Typst lowering.	Existing component/Markdown tests and real Typst/PDF evidence.	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Existing typed Whitespace/Size evaluator/IR tests and real Typst/PDF spacing tests.	SUPPORTED_END_TO_END	#156;no implementation follow-up	No #154-owned gap for the evidenced typed Whitespace contract; broader renderer-default parity is outside this bounded row.	Audit evidence only; implementation frozen until #156
owned	primitive:clip	none	component/layout content	clip(clip: Clip, body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Applies clipping path.	No direct Markdown baseline.	Clip geometry/rendering is QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#184;frozen until #156	No bounded .clip semantic, backend-neutral representation, or Typst/output contract exists; this component-local gap is assigned to #184.	Audit evidence only; implementation frozen until #156
owned	primitive:box	none	component/content	box(title: InlineMarkdownContent? = null, type: BoxType = CALLOUT, padding: Sizes? = null, body: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Creates typed styled/callout box.	Blockquote baseline is not a typed box.	Type/title/style/localization/output are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#184;frozen until #156	No typed .box semantic or output contract exists; generic blockquote or function-call retention is not equivalent, and #184 owns the component gap.	Audit evidence only; implementation frozen until #156
